case,k,sample,Delta,D_objective,frobenius_error,column_norm_error
one_prior_common_optimal_set,3,1,1.69,-1.7045708037964855e+00,1.1102230246251565e-16,2.2204460492503131e-16
one_prior_common_optimal_set,3,2,1.69,-1.7045708037964853e+00,3.2368285245694688e-16,2.2204460492503131e-16
one_prior_common_optimal_set,3,3,1.69,-1.7045708037964853e+00,2.7194799110210365e-16,0.0000000000000000e+00
one_prior_common_optimal_set,3,4,1.69,-1.7045708037964855e+00,1.5700924586837752e-16,2.2204460492503131e-16
one_prior_common_optimal_set,3,5,1.69,-1.7045708037964857e+00,5.5511151231257827e-16,2.2204460492503131e-16
one_prior_common_optimal_set,3,6,1.69,-1.7045708037964857e+00,5.1478923876445170e-16,2.2204460492503131e-16
one_prior_common_optimal_set,3,7,1.69,-1.7045708037964857e+00,5.0267485386043072e-16,2.2204460492503131e-16
one_prior_common_optimal_set,3,8,1.69,-1.7045708037964857e+00,4.7102773760513248e-16,2.2204460492503131e-16
one_prior_common_optimal_set,3,9,1.69,-1.7045708037964853e+00,3.2368285245694688e-16,2.2204460492503131e-16
one_prior_common_optimal_set,3,10,1.69,-1.7045708037964857e+00,4.7102773760513248e-16,4.4408920985006262e-16
one_prior_common_optimal_set,3,11,1.69,-1.7045708037964857e+00,4.4408920985006262e-16,2.2204460492503131e-16
one_prior_common_optimal_set,3,12,1.69,-1.7045708037964857e+00,4.6443961262081255e-16,2.2204460492503131e-16
one_prior_common_optimal_set,4,1,1.69,-2.0911261351565882e+00,3.8459253727671276e-16,2.2204460492503131e-16
one_prior_common_optimal_set,4,2,1.69,-2.0911261351565891e+00,4.4408920985006262e-16,2.2204460492503131e-16
one_prior_common_optimal_set,4,3,1.69,-2.0911261351565891e+00,4.7102773760513248e-16,2.2204460492503131e-16
one_prior_common_optimal_set,4,4,1.69,-2.0911261351565891e+00,4.4408920985006262e-16,0.0000000000000000e+00
one_prior_common_optimal_set,4,5,1.69,-2.0911261351565882e+00,2.3551386880256624e-16,2.2204460492503131e-16
one_prior_common_optimal_set,4,6,1.69,-2.0911261351565891e+00,5.0267485386043072e-16,2.2204460492503131e-16
one_prior_common_optimal_set,4,7,1.69,-2.0911261351565891e+00,5.9269690555648409e-16,4.4408920985006262e-16
one_prior_common_optimal_set,4,8,1.69,-2.0911261351565886e+00,4.9650683064945462e-16,2.2204460492503131e-16
one_prior_common_optimal_set,4,9,1.69,-2.0911261351565886e+00,5.2074075716206700e-16,4.4408920985006262e-16
one_prior_common_optimal_set,4,10,1.69,-2.0911261351565891e+00,2.7194799110210365e-16,2.2204460492503131e-16
one_prior_common_optimal_set,4,11,1.69,-2.0911261351565886e+00,4.9650683064945462e-16,2.2204460492503131e-16
one_prior_common_optimal_set,4,12,1.69,-2.0911261351565891e+00,4.5097472448829339e-16,2.2204460492503131e-16
one_prior_common_optimal_set,5,1,1.69,-2.4149333871603837e+00,4.5097472448829339e-16,2.2204460492503131e-16
one_prior_common_optimal_set,5,2,1.69,-2.4149333871603833e+00,4.9650683064945462e-16,2.2204460492503131e-16
one_prior_common_optimal_set,5,3,1.69,-2.4149333871603833e+00,6.3292450452841926e-16,2.2204460492503131e-16
one_prior_common_optimal_set,5,4,1.69,-2.4149333871603837e+00,5.8747480459522066e-16,4.4408920985006262e-16
one_prior_common_optimal_set,5,5,1.69,-2.4149333871603833e+00,3.2368285245694688e-16,2.2204460492503131e-16
one_prior_common_optimal_set,5,6,1.69,-2.4149333871603837e+00,4.9650683064945462e-16,2.2204460492503131e-16
one_prior_common_optimal_set,5,7,1.69,-2.4149333871603833e+00,2.7194799110210365e-16,1.1102230246251565e-16
one_prior_common_optimal_set,5,8,1.69,-2.4149333871603837e+00,5.9269690555648409e-16,4.4408920985006262e-16
one_prior_common_optimal_set,5,9,1.69,-2.4149333871603833e+00,6.4736570491389375e-16,2.2204460492503131e-16
one_prior_common_optimal_set,5,10,1.69,-2.4149333871603833e+00,5.4953236053932127e-16,2.2204460492503131e-16
one_prior_common_optimal_set,5,11,1.69,-2.4149333871603837e+00,4.7102773760513248e-16,2.2204460492503131e-16
one_prior_common_optimal_set,5,12,1.69,-2.4149333871603837e+00,2.7194799110210365e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,1,1.69,-2.6935472059152148e+00,4.7102773760513248e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,2,1.69,-2.6935472059152143e+00,6.4736570491389375e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,3,1.69,-2.6935472059152143e+00,6.3292450452841926e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,4,1.69,-2.6935472059152148e+00,4.5097472448829339e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,5,1.69,-2.6935472059152148e+00,4.7102773760513248e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,6,1.69,-2.6935472059152148e+00,4.7102773760513248e-16,4.4408920985006262e-16
one_prior_common_optimal_set,6,7,1.69,-2.6935472059152143e+00,6.3292450452841926e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,8,1.69,-2.6935472059152148e+00,4.7102773760513248e-16,4.4408920985006262e-16
one_prior_common_optimal_set,6,9,1.69,-2.6935472059152148e+00,4.4408920985006262e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,10,1.69,-2.6935472059152148e+00,4.5097472448829339e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,11,1.69,-2.6935472059152148e+00,4.5097472448829339e-16,2.2204460492503131e-16
one_prior_common_optimal_set,6,12,1.69,-2.6935472059152143e+00,6.4736570491389375e-16,2.2204460492503131e-16
one_prior_common_optimal_set,7,1,1.69,-2.9380515174347108e+00,1.2560739669470201e-15,2.2204460492503131e-16
one_prior_common_optimal_set,7,2,1.69,-2.9380515174347108e+00,1.2585248453105973e-15,2.2204460492503131e-16
one_prior_common_optimal_set,7,3,1.69,-2.9380515174347108e+00,1.3159772817161405e-15,2.2204460492503131e-16
one_prior_common_optimal_set,7,4,1.69,-2.9380515174347108e+00,1.6031097647355054e-15,4.4408920985006262e-16
one_prior_common_optimal_set,7,5,1.69,-2.9380515174347108e+00,9.9301366129890925e-16,2.2204460492503131e-16
one_prior_common_optimal_set,7,6,1.69,-2.9380515174347108e+00,1.2779626727101132e-15,2.2204460492503131e-16
one_prior_common_optimal_set,7,7,1.69,-2.9380515174347108e+00,1.2585248453105973e-15,2.2204460492503131e-16
one_prior_common_optimal_set,7,8,1.69,-2.9380515174347108e+00,1.8327088756841167e-15,2.2204460492503131e-16
one_prior_common_optimal_set,7,9,1.69,-2.9380515174347108e+00,9.0194944897658678e-16,2.2204460492503131e-16
one_prior_common_optimal_set,7,10,1.69,-2.9380515174347108e+00,1.2560739669470201e-15,2.2204460492503131e-16
one_prior_common_optimal_set,7,11,1.69,-2.9380515174347108e+00,1.0053497077208614e-15,2.2204460492503131e-16
one_prior_common_optimal_set,7,12,1.69,-2.9380515174347108e+00,1.2560739669470201e-15,2.2204460492503131e-16
one_prior_common_optimal_set,8,1,1.69,-3.1558944906854589e+00,4.5097472448829339e-16,2.2204460492503131e-16
one_prior_common_optimal_set,8,2,1.69,-3.1558944906854594e+00,1.2658490090568385e-15,2.2204460492503131e-16
one_prior_common_optimal_set,8,3,1.69,-3.1558944906854594e+00,1.2560739669470201e-15,2.2204460492503131e-16
one_prior_common_optimal_set,8,4,1.69,-3.1558944906854594e+00,1.2947314098277875e-15,2.2204460492503131e-16
one_prior_common_optimal_set,8,5,1.69,-3.1558944906854594e+00,1.2947314098277875e-15,4.4408920985006262e-16
one_prior_common_optimal_set,8,6,1.69,-3.1558944906854594e+00,1.3414875847488985e-15,4.4408920985006262e-16
one_prior_common_optimal_set,8,7,1.69,-3.1558944906854594e+00,1.2560739669470201e-15,2.2204460492503131e-16
one_prior_common_optimal_set,8,8,1.69,-3.1558944906854594e+00,1.2585248453105973e-15,4.4408920985006262e-16
one_prior_common_optimal_set,8,9,1.69,-3.1558944906854594e+00,1.2658490090568385e-15,2.2204460492503131e-16
one_prior_common_optimal_set,8,10,1.69,-3.1558944906854594e+00,1.2560739669470201e-15,2.2204460492503131e-16
one_prior_common_optimal_set,8,11,1.69,-3.1558944906854594e+00,1.2560739669470201e-15,4.4408920985006262e-16
one_prior_common_optimal_set,8,12,1.69,-3.1558944906854594e+00,9.0194944897658678e-16,4.4408920985006262e-16
one_prior_common_optimal_set,9,1,1.69,-3.3523230889540172e+00,1.6088660122137097e-15,2.2204460492503131e-16
one_prior_common_optimal_set,9,2,1.69,-3.3523230889540172e+00,1.3159772817161405e-15,4.4408920985006262e-16
one_prior_common_optimal_set,9,3,1.69,-3.3523230889540172e+00,1.2658490090568385e-15,4.4408920985006262e-16
one_prior_common_optimal_set,9,4,1.69,-3.3523230889540172e+00,1.3414875847488985e-15,2.2204460492503131e-16
one_prior_common_optimal_set,9,5,1.69,-3.3523230889540172e+00,1.6316879466126221e-15,4.4408920985006262e-16
one_prior_common_optimal_set,9,6,1.69,-3.3523230889540172e+00,1.2947314098277875e-15,2.2204460492503131e-16
one_prior_common_optimal_set,9,7,1.69,-3.3523230889540172e+00,1.2947314098277875e-15,2.2204460492503131e-16
one_prior_common_optimal_set,9,8,1.69,-3.3523230889540172e+00,1.2947314098277875e-15,2.2204460492503131e-16
one_prior_common_optimal_set,9,9,1.69,-3.3523230889540176e+00,1.8377461060977538e-15,2.2204460492503131e-16
one_prior_common_optimal_set,9,10,1.69,-3.3523230889540172e+00,1.6031097647355054e-15,2.2204460492503131e-16
one_prior_common_optimal_set,9,11,1.69,-3.3523230889540172e+00,1.3710242980056706e-15,2.2204460492503131e-16
one_prior_common_optimal_set,9,12,1.69,-3.3523230889540176e+00,1.6690311775283582e-15,4.4408920985006262e-16
one_prior_common_optimal_set,10,1,1.69,-3.5311731898480638e+00,1.2658490090568385e-15,2.2204460492503131e-16
one_prior_common_optimal_set,10,2,1.69,-3.5311731898480638e+00,1.2658490090568385e-15,4.4408920985006262e-16
one_prior_common_optimal_set,10,3,1.69,-3.5311731898480634e+00,9.1887305304887692e-16,2.2204460492503131e-16
one_prior_common_optimal_set,10,4,1.69,-3.5311731898480634e+00,8.9164111672973612e-16,2.2204460492503131e-16
one_prior_common_optimal_set,10,5,1.69,-3.5311731898480638e+00,1.9922239907684116e-15,2.2204460492503131e-16
one_prior_common_optimal_set,10,6,1.69,-3.5311731898480638e+00,2.0411201962889075e-15,4.4408920985006262e-16
one_prior_common_optimal_set,10,7,1.69,-3.5311731898480638e+00,1.2658490090568385e-15,2.2204460492503131e-16
one_prior_common_optimal_set,10,8,1.69,-3.5311731898480638e+00,1.2560739669470201e-15,4.4408920985006262e-16
one_prior_common_optimal_set,10,9,1.69,-3.5311731898480638e+00,1.2658490090568385e-15,2.2204460492503131e-16
one_prior_common_optimal_set,10,10,1.69,-3.5311731898480638e+00,1.2560739669470201e-15,4.4408920985006262e-16
one_prior_common_optimal_set,10,11,1.69,-3.5311731898480638e+00,1.2585248453105973e-15,4.4408920985006262e-16
one_prior_common_optimal_set,10,12,1.69,-3.5311731898480638e+00,1.9922239907684116e-15,2.2204460492503131e-16
one_prior_common_optimal_set,11,1,1.69,-3.6953342023327020e+00,1.2560739669470201e-15,4.4408920985006262e-16
one_prior_common_optimal_set,11,2,1.69,-3.6953342023327025e+00,2.0106994154417229e-15,4.4408920985006262e-16
one_prior_common_optimal_set,11,3,1.69,-3.6953342023327025e+00,3.2110214185320387e-15,4.4408920985006262e-16
one_prior_common_optimal_set,11,4,1.69,-3.6953342023327020e+00,1.2658490090568385e-15,4.4408920985006262e-16
one_prior_common_optimal_set,11,5,1.69,-3.6953342023327025e+00,2.0106994154417229e-15,2.2204460492503131e-16
one_prior_common_optimal_set,11,6,1.69,-3.6953342023327020e+00,1.4043333874306805e-15,2.2204460492503131e-16
one_prior_common_optimal_set,11,7,1.69,-3.6953342023327020e+00,1.2947314098277875e-15,4.4408920985006262e-16
one_prior_common_optimal_set,11,8,1.69,-3.6953342023327020e+00,9.4205547521026495e-16,2.2204460492503131e-16
one_prior_common_optimal_set,11,9,1.69,-3.6953342023327020e+00,1.2585248453105973e-15,2.2204460492503131e-16
one_prior_common_optimal_set,11,10,1.69,-3.6953342023327025e+00,1.9922239907684116e-15,2.2204460492503131e-16
one_prior_common_optimal_set,11,11,1.69,-3.6953342023327025e+00,2.8130518934954390e-15,2.2204460492503131e-16
one_prior_common_optimal_set,11,12,1.69,-3.6953342023327025e+00,1.9922239907684116e-15,2.2204460492503131e-16
