case,k,sample,Delta,D_objective,frobenius_error,column_norm_error
two_prior_common_optimal_set,3,1,2.214109084914717,-2.2449831249161054e+00,2.2204460492503131e-16,2.2204460492503131e-16
two_prior_common_optimal_set,3,2,2.214109084914717,-2.2449831249161054e+00,3.1401849173675503e-16,0.0000000000000000e+00
two_prior_common_optimal_set,3,3,2.214109084914717,-2.2449831249161059e+00,9.6786999382662530e-16,2.2204460492503131e-16
two_prior_common_optimal_set,3,4,2.214109084914717,-2.2449831249161054e+00,2.2204460492503131e-16,1.1102230246251565e-16
two_prior_common_optimal_set,3,5,2.214109084914717,-2.2449831249161054e+00,3.1401849173675503e-16,1.1102230246251565e-16
two_prior_common_optimal_set,3,6,2.214109084914717,-2.2449831249161054e+00,5.4389598220420729e-16,1.1102230246251565e-16
two_prior_common_optimal_set,3,7,2.214109084914717,-2.2449831249161059e+00,7.6918507455342553e-16,4.4408920985006262e-16
two_prior_common_optimal_set,3,8,2.214109084914717,-2.2449831249161054e+00,4.9650683064945462e-16,2.2204460492503131e-16
two_prior_common_optimal_set,3,9,2.214109084914717,-2.2449831249161054e+00,5.4389598220420729e-16,0.0000000000000000e+00
two_prior_common_optimal_set,3,10,2.214109084914717,-2.2449831249161054e+00,4.4408920985006262e-16,0.0000000000000000e+00
two_prior_common_optimal_set,3,11,2.214109084914717,-2.2449831249161059e+00,7.6918507455342553e-16,2.2204460492503131e-16
two_prior_common_optimal_set,3,12,2.214109084914717,-2.2449831249161054e+00,3.8459253727671276e-16,2.2204460492503131e-16
two_prior_common_optimal_set,4,1,2.214109084914717,-2.5465312616437714e+00,1.2755491433176288e-15,2.2204460492503131e-16
two_prior_common_optimal_set,4,2,2.214109084914717,-2.5465312616437705e+00,3.8459253727671276e-16,2.2204460492503131e-16
two_prior_common_optimal_set,4,3,2.214109084914717,-2.5465312616437705e+00,7.0216669371534024e-16,0.0000000000000000e+00
two_prior_common_optimal_set,4,4,2.214109084914717,-2.5465312616437710e+00,7.3643864125902954e-16,2.2204460492503131e-16
two_prior_common_optimal_set,4,5,2.214109084914717,-2.5465312616437710e+00,8.0059320849734419e-16,2.2204460492503131e-16
two_prior_common_optimal_set,4,6,2.214109084914717,-2.5465312616437705e+00,7.0216669371534024e-16,2.2204460492503131e-16
two_prior_common_optimal_set,4,7,2.214109084914717,-2.5465312616437705e+00,7.0216669371534024e-16,2.2204460492503131e-16
two_prior_common_optimal_set,4,8,2.214109084914717,-2.5465312616437710e+00,8.5997505698985167e-16,2.2204460492503131e-16
two_prior_common_optimal_set,4,9,2.214109084914717,-2.5465312616437705e+00,5.8747480459522066e-16,0.0000000000000000e+00
two_prior_common_optimal_set,4,10,2.214109084914717,-2.5465312616437705e+00,4.9650683064945462e-16,1.1102230246251565e-16
two_prior_common_optimal_set,4,11,2.214109084914717,-2.5465312616437705e+00,5.4389598220420729e-16,2.2204460492503131e-16
two_prior_common_optimal_set,4,12,2.214109084914717,-2.5465312616437714e+00,1.1102230246251565e-15,2.2204460492503131e-16
two_prior_common_optimal_set,5,1,2.214109084914717,-2.8085141229881261e+00,9.9301366129890925e-16,2.2204460492503131e-16
two_prior_common_optimal_set,5,2,2.214109084914717,-2.8085141229881261e+00,9.4205547521026495e-16,3.3306690738754696e-16
two_prior_common_optimal_set,5,3,2.214109084914717,-2.8085141229881261e+00,1.0414815143241340e-15,2.2204460492503131e-16
two_prior_common_optimal_set,5,4,2.214109084914717,-2.8085141229881261e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,5,5,2.214109084914717,-2.8085141229881265e+00,1.2947314098277875e-15,4.4408920985006262e-16
two_prior_common_optimal_set,5,6,2.214109084914717,-2.8085141229881261e+00,9.9301366129890925e-16,2.2204460492503131e-16
two_prior_common_optimal_set,5,7,2.214109084914717,-2.8085141229881265e+00,1.2560739669470201e-15,2.2204460492503131e-16
two_prior_common_optimal_set,5,8,2.214109084914717,-2.8085141229881265e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,5,9,2.214109084914717,-2.8085141229881265e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,5,10,2.214109084914717,-2.8085141229881261e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,5,11,2.214109084914717,-2.8085141229881261e+00,1.0414815143241340e-15,2.2204460492503131e-16
two_prior_common_optimal_set,5,12,2.214109084914717,-2.8085141229881261e+00,9.9301366129890925e-16,1.1102230246251565e-16
two_prior_common_optimal_set,6,1,2.214109084914717,-3.0401202025657676e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,6,2,2.214109084914717,-3.0401202025657676e+00,1.0877919644084146e-15,2.2204460492503131e-16
two_prior_common_optimal_set,6,3,2.214109084914717,-3.0401202025657672e+00,4.4408920985006262e-16,2.2204460492503131e-16
two_prior_common_optimal_set,6,4,2.214109084914717,-3.0401202025657676e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,6,5,2.214109084914717,-3.0401202025657672e+00,5.4389598220420729e-16,2.2204460492503131e-16
two_prior_common_optimal_set,6,6,2.214109084914717,-3.0401202025657672e+00,6.2803698347351007e-16,1.1102230246251565e-16
two_prior_common_optimal_set,6,7,2.214109084914717,-3.0401202025657672e+00,6.2803698347351007e-16,2.2204460492503131e-16
two_prior_common_optimal_set,6,8,2.214109084914717,-3.0401202025657672e+00,5.4389598220420729e-16,1.1102230246251565e-16
two_prior_common_optimal_set,6,9,2.214109084914717,-3.0401202025657676e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,6,10,2.214109084914717,-3.0401202025657676e+00,1.0414815143241340e-15,1.1102230246251565e-16
two_prior_common_optimal_set,6,11,2.214109084914717,-3.0401202025657676e+00,1.2947314098277875e-15,4.4408920985006262e-16
two_prior_common_optimal_set,6,12,2.214109084914717,-3.0401202025657672e+00,3.1401849173675503e-16,2.2204460492503131e-16
two_prior_common_optimal_set,7,1,2.214109084914717,-3.2476675854356656e+00,9.9301366129890925e-16,2.2204460492503131e-16
two_prior_common_optimal_set,7,2,2.214109084914717,-3.2476675854356656e+00,5.4389598220420729e-16,2.2204460492503131e-16
two_prior_common_optimal_set,7,3,2.214109084914717,-3.2476675854356656e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,7,4,2.214109084914717,-3.2476675854356656e+00,1.0414815143241340e-15,2.2204460492503131e-16
two_prior_common_optimal_set,7,5,2.214109084914717,-3.2476675854356656e+00,1.2560739669470201e-15,2.2204460492503131e-16
two_prior_common_optimal_set,7,6,2.214109084914717,-3.2476675854356656e+00,6.2803698347351007e-16,2.2204460492503131e-16
two_prior_common_optimal_set,7,7,2.214109084914717,-3.2476675854356656e+00,1.1749496091904413e-15,2.2204460492503131e-16
two_prior_common_optimal_set,7,8,2.214109084914717,-3.2476675854356656e+00,9.9301366129890925e-16,2.2204460492503131e-16
two_prior_common_optimal_set,7,9,2.214109084914717,-3.2476675854356656e+00,1.2947314098277875e-15,2.2204460492503131e-16
